MSFS-Net Evaluation on LOL-Blur Dataset
==================================================
Total images : 1800
Average PSNR : 8.560 dB
Average SSIM : 0.2379

Per-image results:
  Image 0494: PSNR=6.635  SSIM=0.0835
  Image 0495: PSNR=6.626  SSIM=0.0814
  Image 0496: PSNR=6.641  SSIM=0.0840
  Image 0497: PSNR=6.600  SSIM=0.0794
  Image 0498: PSNR=6.593  SSIM=0.0823
  Image 0499: PSNR=6.538  SSIM=0.0850
  Image 0500: PSNR=6.565  SSIM=0.0854
  Image 0501: PSNR=6.629  SSIM=0.0949
  Image 0502: PSNR=6.560  SSIM=0.0901
  Image 0503: PSNR=6.507  SSIM=0.0812
  Image 0504: PSNR=6.472  SSIM=0.0821
  Image 0505: PSNR=6.537  SSIM=0.0856
  Image 0506: PSNR=6.587  SSIM=0.0906
  Image 0507: PSNR=6.584  SSIM=0.0936
  Image 0508: PSNR=6.562  SSIM=0.0863
  Image 0509: PSNR=6.583  SSIM=0.0879
  Image 0510: PSNR=6.611  SSIM=0.0876
  Image 0511: PSNR=7.852  SSIM=0.2608
  Image 0512: PSNR=7.903  SSIM=0.2623
  Image 0513: PSNR=7.986  SSIM=0.2985
  Image 0514: PSNR=7.915  SSIM=0.3037
  Image 0515: PSNR=7.911  SSIM=0.2942
  Image 0516: PSNR=7.926  SSIM=0.2893
  Image 0517: PSNR=7.900  SSIM=0.3058
  Image 0518: PSNR=7.847  SSIM=0.2859
  Image 0519: PSNR=7.521  SSIM=0.2411
  Image 0520: PSNR=7.419  SSIM=0.2268
  Image 0521: PSNR=7.515  SSIM=0.2238
  Image 0522: PSNR=7.513  SSIM=0.2037
  Image 0523: PSNR=7.448  SSIM=0.2019
  Image 0524: PSNR=7.616  SSIM=0.2446
  Image 0525: PSNR=7.430  SSIM=0.2311
  Image 0526: PSNR=7.394  SSIM=0.2017
  Image 0527: PSNR=7.513  SSIM=0.2389
